Designator,Footprint,Quantity,Value,LCSC ID
"C1, C10",CP_Elec_6.3x7.7,2,100uf, C7272127
"C11, C23, C26",0603,3,10uf, C19702
C12,0402,1,3.3nf, C26404
"C13, C19, C20, C21",0402,4,100nf, C1525
"C14, C15, C16, C17, C18",1812,5,22uf, C5189846
"C2, C7",0603,2,22uf, C59461
C22,0402,1,2.2uf, C12530
"C24, C25",0402,2,0u1f, C1525
"C3, C6",0402,2,0.1uf, C1525
C4,0402,1,1uf, C52923
C5,0402,1,47nf, C272875
"D2, D7",D_SOD-323,2,D_Schottky, C191023
D6,0603,1,LED, C2286
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P, C2927038
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
J3,SolderWire-4sqmm_1x02_P12mm_D3mm_OD6mm,1,Conn_01x02,
J4,SolderWire-4sqmm_1x03_P12mm_D3mm_OD6mm,1,Conn_01x03,
"Q1, Q2, Q3, Q4, Q5, Q6",VSON-8_3.3x3.3mm_P0.65mm_NexFET,6,CSD17577Q3A, C201632
"R1, R10, R2, R7, R8, R9",0402,6,10,  C25077
"R11, R15, R16, R20, R21, R22",0402,6,33k, C25779
R12,0402,1,68k, C36871
R13,0402,1,22k,  C25768
R14,0402,1,100k, C25741
"R17, R18, R19, R28",0402,4,10k, C25744
R23,0402,1,5.1k, C25905
"R24, R25, R26",2512,3,0.01, C393070
R27,0402,1,4.7k, C25900
"R5, R6",0402,2,5k1, C25905
"SW1, SW3",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push, C720477
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBTx, C529355
U3,SOT-666,1,USBLC6-2P6, C15999
U4,SOT-223-3_TabPin2,1,TLV76133DCY, C7527500
U8,QFN50P600X600X80-41N415X415,1,DRV8323SRTAT, C2150452
U9,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,1,TPS82130, C473914
