Designator,Mid X,Mid Y,Rotation,Layer
C1,225.1,-105.1,0.0,top
C10,225.0,-118.5,0.0,top
C11,204.2,-102.3,90.0,top
C12,205.2,-108.2,270.0,top
C13,206.1,-115.12,90.0,top
C14,225.3,-99.6,180.0,top
C15,225.25,-112.8,180.0,top
C16,225.05,-126.2,180.0,top
C17,231.15,-130.5,0.0,top
C18,225.05,-130.5,180.0,top
C19,205.8,-116.6,180.0,top
C2,219.35,-102.55,270.0,top
C20,205.8,-117.6,180.0,top
C21,207.9,-116.6,0.0,top
C22,207.9,-117.6,0.0,top
C23,203.0,-116.6,90.0,top
C24,204.3,-117.18,90.0,top
C25,206.85,-127.65,180.0,top
C26,209.35,-127.65,0.0,top
C3,218.1,-102.07,270.0,top
C4,217.1,-102.07,270.0,top
C5,217.1,-104.07,270.0,top
C6,208.2,-101.1,90.0,top
C7,204.9,-110.7,270.0,top
D2,202.6,-119.1,180.0,top
D6,204.9,-113.9,270.0,top
D7,203.1,-111.1125,90.0,top
J1,195.74,-122.29,270.0,top
J2,210.3,-130.7,90.0,top
Q1,230.86,-98.79,90.0,top
Q2,230.86,-113.13,90.0,top
Q3,234.79,-98.74,180.0,top
Q4,234.8,-113.015,180.0,top
Q5,230.96,-126.33,90.0,top
Q6,234.89,-126.19,180.0,top
R1,222.4,-97.1,0.0,top
R10,222.29,-122.6,0.0,top
R11,221.21,-101.0,0.0,top
R12,202.8,-107.8,0.0,top
R13,202.8,-108.8,180.0,top
R14,204.2,-108.2,90.0,top
R15,221.2,-114.4,0.0,top
R16,220.9,-128.6,0.0,top
R17,221.2,-130.1,90.0,top
R18,220.85,-116.3,90.0,top
R19,221.2,-99.8,180.0,top
R2,222.4,-96.1,0.0,top
R20,220.91,-127.55,180.0,top
R21,217.5,-109.0,180.0,top
R22,219.8,-111.6,270.0,top
R23,203.3,-113.7,270.0,top
R24,234.8,-92.8375,270.0,top
R25,234.8,-107.1,270.0,top
R26,234.7,-120.2375,270.0,top
R27,210.1,-107.05,180.0,top
R28,203.85,-126.3,180.0,top
R5,202.1,-124.04,0.0,top
R6,202.1,-120.54,0.0,top
R7,222.35,-110.3,0.0,top
R8,222.35,-109.2,0.0,top
R9,222.29,-123.6,0.0,top
SW1,216.6,-129.7,90.0,top
SW3,204.0,-129.7,90.0,top
U1,212.6,-112.7,90.0,top
U3,202.6,-122.29,0.0,top
U4,208.4,-122.5,90.0,top
U8,212.6,-101.55,180.0,top
U9,203.7,-105.6,270.0,top
